"Name","Date of Birth","Place of Birth","Oscars","Oscar Nominations","BAFTA","BAFTA Nominations","Golden Globes","Golden Globe Nominations"
"Leonardo DiCaprio","11 November 1974","Los Angeles, California, United States","1","6","1","4","2","11"
"Liam Neeson","7 June 1952","Ballymena, United Kingdom","0","1","0","1","0","3"
"Marlon Brando","3 April 1924","Omaha, Nebraska, United States","2","8","3","8","2","6"
"Martin Sheen","3 August 1940","Dayton, Ohio, United States","0","0","0","2","1","8"
"Matt Damon","8 October 1970","Cambridge, Massachusetts, United States","1","5","0","3","1","7"
"Matthew McConaughey","4 November 1969","Uvalde, Texas, United States","1","1","0","0","1","1"
"Mel Gibson","3 January 1956","Peekskill, New York, United States","2","3","0","2","1","4"
"Michael Caine","14 March 1933","Rotherhithe, United Kingdom","2","6","1","8","3","12"
"Michael Douglas","25 September 1944","New Brunswick, New Jersey, United States","2","2","0","2","1","7"
"Morgan Freeman","1 June 1937","Memphis, Tennessee, United States","1","5","0","0","1","5"
"Nicolas Cage","7 January 1964","Long Beach, California, United States","1","2","0","2","1","4"
"Orson Welles","6 May 1915","Kenosha, Wisconsin, United States","0","1","0","1","1","3"
"Paul Newman","26 January 1925","Shaker Heights, Ohio, United States","1","10","1","5","3","12"
"Peter Finch","28 September 1916","South Kensington, London, United Kingdom","1","2","5","7","1","2"
"Peter O'Toole","2 August 1932","Leeds, United Kingdom","0","8","1","4","4","11"
"Peter Sellers","8 September 1925","Portsmouth, United Kingdom","0","3","1","4","1","5"
"Philip Seymour Hoffman","23 July 1967","Fairport, New York, United States","1","4","1","5","1","5"
"Ralph Fiennes","22 December 1962","Ipswich, United Kingdom","0","2","1","6","0","5"
"Richard Burton","10 November 1925","Pontrhydyfen, United Kingdom","0","7","2","4","2","7"
"Robert De Niro","17 August 1943","Greenwich Village, New York, United States","2","7","0","6","1","8"
"Robert Downey Jr.","4 April 1965","Manhattan, New York, United States","0","2","1","2","3","5"
"Robert Duvall","5 January 1931","San Diego, California, United States","1","7","1","3","4","7"
"Robert Mitchum","6 August 1917","Bridgeport, Connecticut, United States","0","1","0","1","0","0"
"Robert Redford","18 August 1936","Santa Monica, California, United States","1","4","3","4","2","5"
"Robin Williams","21 July 1951","Chicago, Illinois, United States","1","4","0","2","4","10"
"Russell Crowe","7 April 1964","Wellington, New Zealand","1","3","1","3","1","5"
"Samuel L. Jackson","21 December 1948","Washington, D.C., United States","0","1","1","1","0","4"
"Sean Connery","25 August 1930","Fountainbridge, Edinburgh, United Kingdom","1","1","1","4","1","1"
"Sean Penn","17 August 1960","Santa Monica, California, United States","2","5","0","3","1","5"
"Sidney Poitier","20 February 1927","Miami, Florida, United States","1","2","1","6","1","7"
"Spencer Tracy","5 April 1900","Milwaukee, Wisconsin, United States","2","9","1","5","1","4"
"Steve McQueen","24 March 1930","Beech Grove, Indiana, United States","0","1","0","0","0","4"
"Tom Cruise","3 July 1962","Syracuse, New York, United States","0","0","0","0","0","0"
"Tom Hanks","9 July 1956","Concord, California, United States","2","5","0","4","4","8"
"Tommy Lee Jones","15 September 1946","San Saba, Texas, United States","1","4","0","4","1","4"
"Will Smith","25 September 1968","Philadelphia, Pennsylvania, United States","0","2","0","0","0","5"
"William Holden","17 April 1918","O'Fallon, Illinois, United States","1","3","0","2","0","0"
"Woody Allen","30 November 1935","Mount Eden Hospital","4","24","9","23","2","13"
